name,value,year,lastValue,rank
El caso Newtral: Lucha contra la desinformacion,333,1552554960,378,1
El caso Newtral: Lucha contra la desinformacion,312,1552555020,333,1
El caso Newtral: Lucha contra la desinformacion,281,1552555080,312,1
El caso Newtral: Lucha contra la desinformacion,263,1552555140,281,1
El caso Newtral: Lucha contra la desinformacion,255,1552555200,263,1
El caso Newtral: Lucha contra la desinformacion,257,1552555260,255,1
El caso Newtral: Lucha contra la desinformacion,266,1552555320,257,1
El caso Newtral: Lucha contra la desinformacion,267,1552555380,266,1
El caso Newtral: Lucha contra la desinformacion,269,1552555500,267,1
El caso Newtral: Lucha contra la desinformacion,266,1552555560,269,1
El caso Newtral: Lucha contra la desinformacion,267,1552555620,266,1
El caso Newtral: Lucha contra la desinformacion,266,1552555680,267,1
